ID	Brand	Model	OS	Date
01	Motorola	E3	Android 6.0	09/2016
02	LG	Optimus L50	Android 4.4.2	06/2010
03	Wiko	Lenny 2	Android 5.1	09/2014
04	LG	G3	Android 5.0	07/2014
05	Apple	iPhone 6s	iOS 13.6	09/2015
06	LG	G6	Android 9	05/2017
07	Motorola	Z2 Play	Android 8.0.0	08/2017
08	Motorola	G8 Plus	Android 9	10/2019
09	Samsung	Galaxy S4 mini	Android 4.4.4	05/2013
10	Samsung	Galaxy J1	Android 4.4.4	01/2015
11	Samsung	Galaxy J3	Android 5.1.1	01/2016
12	Samsung	Galaxy Star 5280	Android 4.1.2	05/2013
13	Sony	Xperia E5	Android 6.0	11/2016
14	Apple	iPhone 3	iOS 7.1.2	06/2008
15	Samsung	Galaxy A6	Android 10	05/2018
16	Samsung	Galaxy A6	Android 10	05/2018
17	Apple	iPhone 7	iOS 12.3.1	09/2016
18	Samsung	Galaxy S4	Android 6.0.1	04/2013
19	Apple	iPhone 8 Plus	iOS 13.2	09/2017
20	Google	Pixel 3	Android 9	11/2018
21	Google	Nexus 5	Android 8.1.0	10/2015
22	BQ	Aquaris X	Android 8.1.0	05/2017
23	Huawei	P9 lite	Android 6.0	05/2016
24	Huawei	P8 lite	Android 5.0	04/2015
25	Huawei	P9 lite	Android 7.0	05/2016
26	Huawei	P20 lite	Android 8.0.0	04/2018
27	Google	Pixel XL	Android 10	10/2016
